order_id,user_id,order_date,city_tier,pincode,order_value_inr,cart_value,discount_amount,shipping_fee,item_category,payment_method,time_of_day,device_os,app_version,seller_type,warehouse_zone,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,is_first_order,new_vs_returning_user,rto_status
ORD1366191,U205291,2024-01-05 12:06:03,Tier 2,691751,2440,3070,630,0,Fashion,Prepaid,Afternoon,iOS,6.3.1,Marketplace_3P,West,10.9,1,372,2,0,0.0,1760,2,0,False,Returning,False
ORD1444565,U118749,2024-01-05 12:08:24,Tier 2,349219,610,690,80,0,Fashion,Prepaid,Afternoon,Android,6.3.1,Flagship_1P,West,3.4,2,1290,17,1,0.059,45200,10,1,False,Returning,False
ORD1061280,U155065,2024-01-05 12:45:23,Tier 1,191284,1490,1820,330,0,Home & Kitchen,Prepaid,Afternoon,Android,6.4.0,Marketplace_3P,West,3.3,1,641,9,2,0.222,5890,3,2,False,Returning,False
ORD1498303,U180978,2024-01-05 14:36:32,Tier 2,494613,2160,2310,150,0,Fashion,Prepaid,Afternoon,Android,6.2.0,Local_SmallSeller,East,18.4,1,164,1,0,0.0,650,1,0,True,New,False
ORD1064309,U131639,2024-01-05 20:00:26,Tier 1,686049,790,870,80,0,Fashion,Prepaid,Evening,iOS,6.2.0,Marketplace_3P,South,18.0,1,208,2,0,0.0,280,1,0,False,Returning,False
ORD1022358,U105329,2024-01-05 23:39:44,Tier 2,137846,21850,23420,1570,0,Mobiles,CoD,Late_Night,Android,6.2.0,Flagship_1P,North,7.7,1,737,9,1,0.111,10260,4,1,False,Returning,True
ORD1126545,U156401,2024-01-06 00:59:21,Tier 3,240161,11130,12080,950,0,Appliances,CoD,Late_Night,Android,6.3.1,Marketplace_3P,East,1.3,1,62,2,1,0.5,760,1,1,False,Returning,False
ORD1063858,U107486,2024-01-06 02:29:22,Tier 1,149143,2260,2290,30,0,Fashion,CoD,Late_Night,iOS,6.3.1,Flagship_1P,Central,14.8,1,1207,13,3,0.231,35620,6,3,False,Returning,False
ORD1167514,U205187,2024-01-06 06:37:43,Tier 2,167526,350,440,90,40,Books,CoD,Morning,iOS,7.0.0,Marketplace_3P,North,19.7,1,1433,16,3,0.188,11470,8,3,False,Returning,False
ORD1272746,U123636,2024-01-06 09:52:40,Tier 1,119838,610,790,180,0,Fashion,Prepaid,Morning,Android,6.3.1,Local_SmallSeller,North,6.7,1,71,1,0,0.0,1500,1,0,True,New,False
ORD1158622,U132084,2024-01-06 11:49:04,Tier 1,789406,600,640,40,0,Beauty,Prepaid,Morning,Android,6.2.0,Local_SmallSeller,Central,0.8,3,286,10,3,0.3,20530,9,3,False,Returning,False
ORD1170143,U135661,2024-01-06 15:01:33,Tier 1,758261,10260,10890,630,0,Mobiles,Prepaid,Afternoon,Android,6.5.2,Flagship_1P,Central,11.9,1,92,3,0,0.0,9100,1,0,False,Returning,False
ORD1447133,U126002,2024-01-06 15:08:17,Tier 2,504589,9040,11350,2310,0,Appliances,Prepaid,Afternoon,Android,7.0.0,Flagship_1P,Central,8.0,1,1056,7,3,0.429,9070,5,3,False,Returning,False
ORD1413218,U193940,2024-01-06 18:29:26,Tier 1,839276,2280,2670,390,0,Fashion,Prepaid,Evening,Android,6.3.1,Marketplace_3P,East,5.3,1,420,11,3,0.273,28730,3,3,False,Returning,False
ORD1111153,U159427,2024-01-06 19:56:58,Tier 1,284316,300,310,10,0,Toys,Prepaid,Evening,Android,6.3.1,Flagship_1P,East,3.4,1,599,9,1,0.111,12790,7,1,False,Returning,False
ORD1242853,U145525,2024-01-06 20:57:27,Tier 1,211980,7670,9410,1740,0,Electronics,Prepaid,Evening,Android,6.3.1,Local_SmallSeller,South,6.7,1,149,3,1,0.333,3940,3,1,False,Returning,False
ORD1131538,U209003,2024-01-06 21:59:29,Tier 1,836236,7150,7400,250,0,Electronics,Prepaid,Evening,Android,6.5.2,Flagship_1P,South,6.7,1,332,4,0,0.0,1410,3,0,False,Returning,False
ORD1330616,U125152,2024-01-07 01:08:26,Tier 1,846640,1300,1680,380,0,Grocery,Prepaid,Late_Night,Android,7.0.0,Marketplace_3P,East,0.7,1,634,11,3,0.273,3120,5,3,False,Returning,False
ORD1439320,U120448,2024-01-07 03:37:58,Tier 2,695292,3650,4800,1150,0,Electronics,Prepaid,Late_Night,Android,6.4.0,Marketplace_3P,East,5.1,1,1109,10,4,0.4,8560,8,4,False,Returning,False
ORD1103755,U208542,2024-01-07 03:44:43,Tier 3,325564,12910,16300,3390,0,Mobiles,Prepaid,Late_Night,Android,6.3.1,Marketplace_3P,West,21.0,1,32,2,0,0.0,2750,2,0,False,Returning,False
ORD1188894,U179877,2024-01-07 04:17:25,Tier 2,766304,750,980,230,0,Books,Prepaid,Late_Night,Android,6.2.0,Local_SmallSeller,South,23.8,1,1407,16,3,0.188,33000,8,3,False,Returning,False
ORD1014846,U163795,2024-01-07 06:14:17,Tier 1,773316,4290,4760,470,0,Electronics,CoD,Morning,Android,6.5.2,Local_SmallSeller,West,4.9,1,992,11,1,0.091,18560,6,1,False,Returning,True
ORD1308240,U115317,2024-01-07 09:36:11,Tier 1,836570,710,950,240,0,Beauty,Prepaid,Morning,Android,6.3.1,Local_SmallSeller,East,13.7,1,656,8,0,0.0,36500,3,0,False,Returning,False
ORD1111202,U180412,2024-01-07 12:32:04,Tier 1,712725,840,1050,210,0,Beauty,Prepaid,Afternoon,Android,7.0.0,Flagship_1P,North,0.5,1,1059,14,3,0.214,23800,12,3,False,Returning,False
ORD1345510,U152343,2024-01-07 13:21:25,Tier 3,781651,490,530,40,0,Fashion,Prepaid,Afternoon,Android,6.5.2,Local_SmallSeller,North,34.8,1,1118,13,1,0.077,7190,9,1,False,Returning,False
ORD1406358,U106374,2024-01-07 13:51:11,Tier 2,319806,470,600,130,0,Books,CoD,Afternoon,Android,6.4.0,Marketplace_3P,South,2.0,1,219,4,2,0.5,17370,3,2,False,Returning,False
ORD1390305,U147265,2024-01-07 14:06:51,Tier 1,675021,4270,4830,560,0,Appliances,CoD,Afternoon,Android,6.4.0,Marketplace_3P,South,21.8,3,1016,13,4,0.308,37970,10,4,False,Returning,False
ORD1014291,U147075,2024-01-07 14:12:03,Tier 1,275398,650,820,170,0,Beauty,CoD,Afternoon,iOS,6.4.0,Flagship_1P,West,3.3,1,1336,15,1,0.067,42870,6,1,False,Returning,False
ORD1166165,U197892,2024-01-07 14:18:08,Tier 2,596037,670,680,10,0,Fashion,Prepaid,Afternoon,Android,7.0.0,Marketplace_3P,Central,15.2,2,691,15,4,0.267,26520,13,4,False,Returning,False
ORD1440365,U104563,2024-01-07 15:52:17,Tier 2,582545,4050,5380,1330,0,Footwear,CoD,Afternoon,Android,6.3.1,Marketplace_3P,South,6.5,1,282,4,1,0.25,570,3,1,False,Returning,False
ORD1481868,U119250,2024-01-07 16:29:43,Tier 1,201150,11520,11830,310,0,Electronics,Prepaid,Afternoon,Android,6.5.2,Marketplace_3P,Central,10.5,2,1051,6,3,0.5,10030,4,3,False,Returning,False
ORD1498397,U152553,2024-01-07 16:30:12,Tier 3,798294,8860,10260,1400,0,Mobiles,CoD,Afternoon,Android,6.4.0,Flagship_1P,North,3.5,1,1067,13,2,0.154,27940,8,2,False,Returning,False
ORD1049598,U191550,2024-01-07 18:13:09,Tier 3,582935,5040,6150,1110,0,Home & Kitchen,Prepaid,Evening,Android,6.3.1,Flagship_1P,South,41.3,2,1194,10,6,0.6,2420,9,6,False,Returning,False
ORD1431114,U125352,2024-01-07 19:06:39,Tier 2,557790,7810,8060,250,0,Electronics,CoD,Evening,iOS,6.4.0,Local_SmallSeller,South,19.7,2,141,2,1,0.5,1250,1,1,False,Returning,False
ORD1236391,U197478,2024-01-07 19:10:40,Tier 1,526078,7390,8620,1230,0,Electronics,Prepaid,Evening,Android,6.3.1,Flagship_1P,East,10.9,1,446,3,1,0.333,1700,2,1,False,Returning,False
ORD1192752,U115645,2024-01-07 21:24:46,Tier 1,357053,3640,3890,250,0,Home & Kitchen,Prepaid,Evening,Android,6.3.1,Marketplace_3P,East,17.8,1,649,8,2,0.25,8970,2,2,False,Returning,False
ORD1062259,U179934,2024-01-08 02:54:57,Tier 3,796590,430,580,150,60,Footwear,CoD,Late_Night,Android,6.2.0,Marketplace_3P,North,29.5,1,88,3,1,0.333,9240,2,1,False,Returning,False
ORD1423217,U122021,2024-01-08 04:29:54,Tier 2,421932,16620,19170,2550,0,Mobiles,CoD,Late_Night,Android,7.0.0,Local_SmallSeller,East,17.0,1,860,14,1,0.071,35870,8,1,False,Returning,True
ORD1333612,U135946,2024-01-08 11:16:36,Tier 2,443930,18130,20090,1960,0,Mobiles,Prepaid,Morning,iOS,7.0.0,Flagship_1P,South,15.9,1,1316,14,0,0.0,36720,10,0,False,Returning,False
ORD1006736,U193940,2024-01-08 13:33:30,Tier 1,696516,3750,4240,490,0,Appliances,CoD,Afternoon,Android,7.0.0,Marketplace_3P,Central,7.9,2,420,11,3,0.273,28730,3,3,False,Returning,False
ORD1393968,U215204,2024-01-08 14:14:24,Tier 1,364517,440,540,100,40,Books,Prepaid,Afternoon,Android,6.2.0,Marketplace_3P,North,16.3,1,1484,20,1,0.05,69570,15,1,False,Returning,False
ORD1190662,U172600,2024-01-08 16:33:26,Tier 3,271632,15030,15200,170,0,Appliances,CoD,Afternoon,Android,6.5.2,Local_SmallSeller,North,15.3,1,311,5,0,0.0,3440,4,0,False,Returning,False
ORD1420071,U124741,2024-01-08 17:01:17,Tier 3,155203,2250,2950,700,0,Footwear,CoD,Evening,Android,7.0.0,Marketplace_3P,South,41.8,1,1130,12,0,0.0,30290,7,0,False,Returning,False
ORD1107815,U196289,2024-01-08 18:48:22,Tier 3,408021,260,280,20,0,Books,Prepaid,Evening,iOS,6.5.2,Local_SmallSeller,North,97.0,1,1454,16,3,0.188,25220,14,3,False,Returning,False
ORD1308857,U184056,2024-01-08 19:01:29,Tier 1,581221,700,920,220,0,Grocery,Prepaid,Evening,Android,6.3.1,Marketplace_3P,South,11.1,2,479,5,0,0.0,8930,4,0,False,Returning,False
ORD1006205,U100442,2024-01-08 20:33:45,Tier 1,481816,18650,24500,5850,0,Appliances,CoD,Evening,Android,6.5.2,Marketplace_3P,North,8.5,1,199,3,1,0.333,2160,1,1,False,Returning,False
ORD1363539,U173643,2024-01-08 20:53:22,Tier 1,300037,620,820,200,0,Grocery,CoD,Evening,iOS,6.4.0,Marketplace_3P,North,3.9,1,668,6,1,0.167,4460,5,1,False,Returning,False
ORD1227161,U150089,2024-01-08 21:00:22,Tier 3,586573,670,760,90,0,Grocery,CoD,Evening,Android,6.5.2,Flagship_1P,Central,4.6,1,1402,12,0,0.0,42130,10,0,False,Returning,False
ORD1030015,U178733,2024-01-08 21:10:50,Tier 3,220166,8050,8080,30,0,Electronics,CoD,Evening,Android,6.2.0,Marketplace_3P,West,41.3,1,941,15,1,0.067,48590,4,1,False,Returning,False
ORD1482939,U187520,2024-01-08 21:19:24,Tier 3,267154,1280,1640,360,0,Fashion,CoD,Evening,Android,6.3.1,Marketplace_3P,East,15.5,1,245,5,0,0.0,2530,3,0,False,Returning,False
ORD1353485,U120659,2024-01-09 04:05:46,Tier 2,830363,4130,4890,760,0,Fashion,Prepaid,Late_Night,Android,6.2.0,Local_SmallSeller,Central,8.0,1,1139,12,1,0.083,4080,4,1,False,Returning,False
ORD1242946,U102474,2024-01-09 05:31:00,Tier 1,578087,6670,7300,630,0,Mobiles,CoD,Morning,Android,6.2.0,Marketplace_3P,South,7.5,2,157,3,0,0.0,7410,1,0,False,Returning,False
ORD1482509,U201957,2024-01-09 05:46:25,Tier 2,641826,4460,5220,760,0,Footwear,CoD,Morning,Android,6.2.0,Marketplace_3P,East,4.5,1,1081,9,1,0.111,26540,5,1,False,Returning,False
ORD1450696,U140420,2024-01-09 07:30:09,Tier 2,290441,2150,2770,620,0,Footwear,CoD,Morning,iOS,6.3.1,Marketplace_3P,West,13.5,1,1371,14,2,0.143,41550,5,2,False,Returning,False
ORD1072458,U141020,2024-01-09 08:41:10,Tier 1,184980,3370,3580,210,0,Footwear,Prepaid,Morning,Android,7.0.0,Marketplace_3P,Central,7.3,1,289,3,1,0.333,1560,2,1,False,Returning,False
ORD1242166,U181753,2024-01-09 16:35:25,Tier 1,302967,6050,7110,1060,0,Electronics,Prepaid,Afternoon,Android,6.3.1,Flagship_1P,West,2.3,1,1050,13,3,0.231,44360,3,2,False,Returning,False
ORD1312598,U121764,2024-01-09 17:38:10,Tier 1,787773,1710,1920,210,0,Beauty,Prepaid,Evening,Android,6.2.0,Marketplace_3P,West,3.6,1,1151,17,2,0.118,7800,11,2,False,Returning,False
ORD1038575,U178921,2024-01-09 18:05:16,Tier 2,428705,380,500,120,40,Beauty,Prepaid,Evening,iOS,6.4.0,Local_SmallSeller,North,6.6,1,390,3,2,0.667,10660,1,1,False,Returning,False
ORD1436827,U195413,2024-01-09 18:24:27,Tier 3,204146,420,440,20,40,Grocery,CoD,Evening,Android,6.2.0,Marketplace_3P,Central,15.4,1,204,3,1,0.333,7470,3,1,False,Returning,True
ORD1326395,U180813,2024-01-09 22:33:17,Tier 2,536066,1970,2160,190,0,Home & Kitchen,CoD,Late_Night,Android,6.4.0,Marketplace_3P,East,9.7,1,131,4,1,0.25,12790,2,1,False,Returning,False
ORD1416499,U201438,2024-01-10 01:06:52,Tier 1,706210,580,690,110,0,Beauty,Prepaid,Late_Night,Android,6.2.0,Marketplace_3P,South,2.1,1,1186,20,7,0.35,38850,16,7,False,Returning,False
ORD1110080,U175738,2024-01-10 02:52:33,Tier 2,375833,2330,2730,400,0,Electronics,CoD,Late_Night,iOS,6.2.0,Marketplace_3P,West,10.3,1,146,2,1,0.5,1440,1,1,False,Returning,False
ORD1416707,U163935,2024-01-10 06:42:04,Tier 1,238956,2890,3540,650,0,Home & Kitchen,Prepaid,Morning,Android,7.0.0,Marketplace_3P,West,1.9,1,74,2,0,0.0,3330,1,0,False,Returning,False
ORD1261765,U143530,2024-01-10 06:57:37,Tier 2,583633,570,700,130,0,Beauty,CoD,Morning,iOS,7.0.0,Marketplace_3P,East,18.1,1,607,7,0,0.0,8370,5,0,False,Returning,True
ORD1322236,U119744,2024-01-10 08:20:50,Tier 3,749696,5460,7100,1640,0,Mobiles,CoD,Morning,Android,6.3.1,Flagship_1P,Central,13.8,1,985,10,1,0.1,28940,7,1,False,Returning,False
ORD1370960,U136199,2024-01-10 08:56:08,Tier 1,485018,1210,1550,340,0,Fashion,Prepaid,Morning,Android,6.3.1,Marketplace_3P,East,7.5,1,78,2,0,0.0,950,1,0,False,Returning,False
ORD1036495,U185061,2024-01-10 11:06:07,Tier 1,371663,2670,2740,70,0,Electronics,CoD,Morning,Android,6.4.0,Flagship_1P,South,13.6,1,340,4,0,0.0,3740,2,0,False,Returning,False
ORD1392484,U137551,2024-01-10 14:15:55,Tier 1,393909,760,980,220,0,Fashion,CoD,Afternoon,Android,6.5.2,Marketplace_3P,South,3.9,1,1427,19,4,0.211,19880,5,3,False,Returning,False
