order_value_inr,cart_value,discount_amount,shipping_fee,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,order_hour,order_dow,city_tier,item_category,payment_method,time_of_day,device_os,seller_type,warehouse_zone,new_vs_returning_user,actual_rto,rto_risk_score,risk_band
4450,5820,1370,0,14.7,1,905,9,2,0.222,13000,4,2,20,0,Tier 2,Electronics,CoD,Evening,Android,Flagship_1P,South,Returning,0,13.7,Low
920,1190,270,0,15.0,2,1149,9,4,0.444,16090,7,4,19,3,Tier 2,Fashion,CoD,Evening,Android,Marketplace_3P,West,Returning,0,13.7,Low
11000,12610,1610,0,5.8,1,1038,13,1,0.077,28200,10,1,7,5,Tier 1,Electronics,CoD,Morning,Android,Marketplace_3P,North,Returning,0,8.7,Low
8080,9140,1060,0,5.2,3,1079,12,7,0.583,21650,4,4,17,4,Tier 1,Mobiles,Prepaid,Evening,Android,Flagship_1P,South,Returning,0,6.7,Low
2760,3090,330,0,12.0,2,1163,11,3,0.273,6370,7,3,11,5,Tier 2,Home & Kitchen,CoD,Morning,Android,Flagship_1P,West,Returning,0,11.0,Low
1920,2510,590,0,6.7,1,1347,10,1,0.1,23310,9,1,10,4,Tier 1,Footwear,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,2.6,Low
1390,1450,60,0,43.6,2,415,6,0,0.0,9980,4,0,19,3,Tier 3,Home & Kitchen,CoD,Evening,Android,Local_SmallSeller,West,Returning,0,19.6,Low
5480,5800,320,0,23.4,2,116,2,0,0.0,2790,1,0,20,6,Tier 1,Electronics,CoD,Evening,Android,Marketplace_3P,North,Returning,1,17.5,Low
4420,5360,940,0,7.8,1,388,5,4,0.8,3510,4,3,7,3,Tier 1,Electronics,Prepaid,Morning,Android,Marketplace_3P,Central,Returning,0,5.4,Low
31230,32280,1050,0,3.8,1,552,8,1,0.125,41980,5,1,21,0,Tier 1,Appliances,Prepaid,Evening,Android,Local_SmallSeller,North,Returning,1,5.2,Low
2540,2940,400,0,54.1,1,1400,18,4,0.222,33540,12,4,14,6,Tier 3,Fashion,Prepaid,Afternoon,Android,Flagship_1P,Central,Returning,0,7.3,Low
4560,5360,800,0,1.4,2,497,10,0,0.0,20170,6,0,16,3,Tier 1,Electronics,CoD,Afternoon,Android,Marketplace_3P,South,Returning,0,7.3,Low
850,860,10,0,18.2,1,766,13,2,0.154,63620,5,2,13,0,Tier 2,Fashion,CoD,Afternoon,Android,Flagship_1P,East,Returning,0,8.7,Low
710,880,170,0,9.5,1,1319,15,1,0.067,36540,3,1,3,1,Tier 2,Home & Kitchen,Prepaid,Late_Night,iOS,Marketplace_3P,North,Returning,0,3.7,Low
2740,3320,580,0,21.2,1,586,6,1,0.167,10580,4,1,6,4,Tier 1,Appliances,CoD,Morning,Android,Marketplace_3P,West,Returning,0,9.7,Low
16390,16480,90,0,6.1,1,171,4,0,0.0,3500,2,0,2,6,Tier 2,Mobiles,Prepaid,Late_Night,Android,Marketplace_3P,East,Returning,0,8.7,Low
510,560,50,0,11.1,1,1281,17,5,0.294,19750,7,5,15,6,Tier 2,Beauty,Prepaid,Afternoon,Android,Flagship_1P,Central,Returning,0,3.7,Low
1080,1420,340,0,7.2,3,837,10,0,0.0,36940,8,0,9,2,Tier 2,Beauty,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,3.7,Low
500,600,100,0,12.8,1,651,9,1,0.111,5990,7,1,14,5,Tier 2,Grocery,Prepaid,Afternoon,Android,Marketplace_3P,North,Returning,0,3.7,Low
1510,1980,470,0,25.7,1,313,6,1,0.167,7300,4,1,20,0,Tier 3,Fashion,CoD,Evening,Android,Marketplace_3P,North,Returning,0,16.8,Low
850,1050,200,0,3.0,2,812,12,1,0.083,15520,5,1,9,6,Tier 1,Grocery,Prepaid,Morning,Android,Marketplace_3P,North,Returning,0,1.8,Low
400,480,80,40,3.5,1,317,2,0,0.0,5430,1,0,21,6,Tier 1,Fashion,Prepaid,Evening,iOS,Local_SmallSeller,West,Returning,0,3.0,Low
310,330,20,60,17.8,2,1157,13,2,0.154,19670,8,2,3,4,Tier 2,Toys,CoD,Late_Night,Android,Local_SmallSeller,South,Returning,0,13.7,Low
1700,1890,190,0,5.9,1,367,8,1,0.125,10580,7,1,23,6,Tier 2,Home & Kitchen,Prepaid,Late_Night,iOS,Marketplace_3P,South,Returning,1,3.9,Low
2830,3740,910,0,10.7,1,58,1,0,0.0,880,0,0,9,1,Tier 1,Electronics,CoD,Morning,Android,Marketplace_3P,West,New,1,19.6,Low
1070,1250,180,0,13.3,1,1193,18,7,0.389,69800,10,6,11,5,Tier 1,Beauty,CoD,Morning,Android,Marketplace_3P,South,Returning,0,7.6,Low
2890,3390,500,0,6.5,1,509,5,0,0.0,5290,4,0,18,0,Tier 1,Footwear,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,2.6,Low
1360,1670,310,0,7.1,2,505,8,0,0.0,10550,5,0,2,1,Tier 3,Fashion,CoD,Late_Night,Android,Flagship_1P,North,Returning,0,14.8,Low
320,390,70,40,9.3,1,391,3,0,0.0,7170,1,0,8,5,Tier 2,Beauty,CoD,Morning,iOS,Marketplace_3P,South,Returning,1,8.7,Low
430,430,0,60,7.8,1,468,6,3,0.5,5270,2,2,1,5,Tier 2,Books,Prepaid,Late_Night,Android,Local_SmallSeller,South,Returning,0,7.3,Low
1910,2360,450,0,1.0,1,399,4,2,0.5,4640,3,2,15,4,Tier 2,Fashion,CoD,Afternoon,Android,Local_SmallSeller,North,Returning,1,13.7,Low
840,1120,280,0,18.7,2,1404,15,1,0.067,54270,11,1,22,0,Tier 2,Beauty,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,0,11.0,Low
640,820,180,0,4.3,1,1270,16,0,0.0,39720,3,0,8,1,Tier 2,Beauty,CoD,Morning,Android,Marketplace_3P,North,Returning,0,4.0,Low
830,960,130,0,7.8,1,974,13,2,0.154,18030,11,2,23,6,Tier 1,Beauty,CoD,Late_Night,Android,Local_SmallSeller,Central,Returning,0,8.7,Low
700,840,140,0,8.8,1,1465,14,6,0.429,37380,4,4,3,6,Tier 2,Beauty,Prepaid,Late_Night,Android,Flagship_1P,West,Returning,0,5.2,Low
2180,2220,40,0,16.1,2,970,7,0,0.0,15780,6,0,19,1,Tier 2,Fashion,Prepaid,Evening,iOS,Marketplace_3P,West,Returning,0,5.2,Low
940,990,50,0,10.2,1,246,7,0,0.0,19380,2,0,1,1,Tier 2,Footwear,CoD,Late_Night,Android,Local_SmallSeller,West,Returning,0,13.7,Low
1480,1880,400,0,36.3,1,172,1,0,0.0,210,0,0,15,2,Tier 3,Fashion,Prepaid,Afternoon,Android,Marketplace_3P,East,New,0,14.8,Low
1530,1700,170,0,8.4,1,901,11,3,0.273,17070,4,3,22,2,Tier 1,Footwear,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,3.0,Low
1230,1390,160,0,11.7,1,1006,9,0,0.0,21750,6,0,17,4,Tier 1,Fashion,CoD,Evening,iOS,Flagship_1P,West,Returning,0,5.4,Low
12850,14500,1650,0,10.0,1,944,8,3,0.375,10400,6,3,0,4,Tier 1,Electronics,Prepaid,Late_Night,Android,Flagship_1P,South,Returning,0,8.7,Low
21390,21550,160,0,10.7,1,602,12,1,0.083,22150,6,1,23,3,Tier 1,Electronics,CoD,Late_Night,Android,Marketplace_3P,East,Returning,0,19.6,Low
640,700,60,0,29.6,1,660,12,5,0.417,9000,10,5,19,6,Tier 3,Books,CoD,Evening,Android,Marketplace_3P,Central,Returning,0,18.5,Low
1560,1570,10,0,9.1,1,128,3,0,0.0,410,3,0,23,4,Tier 2,Home & Kitchen,Prepaid,Late_Night,Android,Flagship_1P,East,Returning,0,5.2,Low
1850,2380,530,0,4.5,1,1463,24,14,0.583,25890,21,13,1,2,Tier 2,Footwear,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,7.6,Low
940,1220,280,0,12.4,1,1445,18,1,0.056,52900,13,1,15,6,Tier 1,Fashion,Prepaid,Afternoon,Android,Local_SmallSeller,North,Returning,0,2.3,Low
690,770,80,0,1.5,1,74,1,0,0.0,1460,1,0,21,6,Tier 1,Fashion,Prepaid,Evening,Android,Marketplace_3P,East,New,0,3.9,Low
640,660,20,0,27.3,1,418,5,0,0.0,9250,4,0,4,6,Tier 3,Beauty,Prepaid,Late_Night,iOS,Marketplace_3P,West,Returning,0,8.7,Low
2900,3890,990,0,3.2,1,1469,19,3,0.158,16810,10,3,14,4,Tier 2,Electronics,Prepaid,Afternoon,Android,Local_SmallSeller,West,Returning,0,4.0,Low
1110,1500,390,0,23.7,1,478,5,5,1.0,1620,2,2,4,0,Tier 2,Fashion,CoD,Late_Night,Android,Marketplace_3P,West,Returning,1,25.5,Medium
960,980,20,0,7.2,1,578,9,7,0.778,10170,5,4,11,2,Tier 1,Beauty,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,4.0,Low
1710,1950,240,0,3.0,1,43,2,0,0.0,1120,1,0,17,1,Tier 1,Beauty,CoD,Evening,Android,Marketplace_3P,North,Returning,1,7.3,Low
2930,3670,740,0,17.9,2,199,5,2,0.4,7550,4,2,23,0,Tier 3,Fashion,CoD,Late_Night,Android,Marketplace_3P,East,Returning,0,26.9,Medium
25430,30460,5030,0,94.5,1,1463,12,3,0.25,10240,5,3,12,6,Tier 3,Mobiles,CoD,Afternoon,iOS,Local_SmallSeller,North,Returning,0,43.3,Medium
850,1120,270,0,8.6,1,105,2,2,1.0,2990,1,1,7,1,Tier 3,Fashion,CoD,Morning,Android,Marketplace_3P,Central,Returning,1,19.6,Low
600,660,60,0,5.0,1,1204,16,4,0.25,22300,4,4,12,1,Tier 1,Books,Prepaid,Afternoon,Android,Marketplace_3P,South,Returning,0,1.8,Low
3000,3920,920,0,19.1,1,932,10,3,0.3,8480,7,3,8,4,Tier 2,Fashion,CoD,Morning,Android,Marketplace_3P,South,Returning,1,13.3,Low
8800,9650,850,0,10.7,2,341,5,4,0.8,260,4,3,16,4,Tier 3,Appliances,CoD,Afternoon,Android,Flagship_1P,North,Returning,1,30.0,Medium
610,620,10,0,3.4,1,177,2,0,0.0,10060,1,0,13,2,Tier 1,Beauty,CoD,Afternoon,Android,Flagship_1P,North,Returning,0,6.5,Low
7570,9020,1450,0,5.1,3,799,7,2,0.286,4770,2,2,22,2,Tier 2,Appliances,Prepaid,Late_Night,Android,Flagship_1P,East,Returning,0,8.7,Low
680,820,140,0,8.6,1,629,6,2,0.333,9620,5,2,20,1,Tier 2,Grocery,Prepaid,Evening,Android,Flagship_1P,Central,Returning,0,3.9,Low
440,530,90,40,54.9,2,1372,15,1,0.067,15840,3,1,21,1,Tier 3,Grocery,CoD,Evening,Android,Marketplace_3P,West,Returning,0,13.7,Low
1450,1490,40,0,5.6,3,585,10,1,0.1,8890,4,1,7,1,Tier 2,Footwear,CoD,Morning,Android,Local_SmallSeller,East,Returning,0,9.7,Low
580,700,120,0,27.1,1,1402,10,3,0.3,45360,6,3,13,1,Tier 3,Fashion,CoD,Afternoon,iOS,Marketplace_3P,South,Returning,0,14.8,Low
14730,16310,1580,0,7.9,1,423,7,3,0.429,3540,6,3,13,5,Tier 1,Mobiles,Prepaid,Afternoon,iOS,Marketplace_3P,North,Returning,0,7.3,Low
770,780,10,0,3.0,1,400,7,5,0.714,10420,6,5,17,0,Tier 1,Beauty,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,3.7,Low
490,620,130,60,5.2,1,442,6,0,0.0,4610,4,0,0,3,Tier 1,Grocery,Prepaid,Late_Night,Android,Marketplace_3P,South,Returning,0,2.6,Low
3310,3400,90,0,19.7,1,226,2,0,0.0,3290,1,0,0,4,Tier 2,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,7.3,Low
6330,7120,790,0,11.3,1,1079,15,0,0.0,35030,10,0,16,2,Tier 2,Electronics,CoD,Afternoon,Android,Flagship_1P,South,Returning,0,11.0,Low
2890,3860,970,0,4.6,1,700,11,0,0.0,6590,4,0,20,1,Tier 2,Electronics,CoD,Evening,Android,Marketplace_3P,North,Returning,0,7.3,Low
31460,36310,4850,0,19.6,3,335,5,1,0.2,3320,1,1,5,0,Tier 2,Appliances,CoD,Morning,Android,Flagship_1P,Central,Returning,0,25.5,Medium
9030,11920,2890,0,27.6,1,1260,12,2,0.167,37360,5,2,11,2,Tier 2,Mobiles,CoD,Morning,Android,Local_SmallSeller,South,Returning,0,24.7,Medium
380,470,90,0,7.8,1,328,6,1,0.167,2160,5,1,21,2,Tier 2,Books,CoD,Evening,Android,Flagship_1P,Central,Returning,0,8.7,Low
1980,2360,380,0,33.7,1,464,5,2,0.4,13500,4,2,21,6,Tier 3,Beauty,CoD,Evening,Android,Local_SmallSeller,West,Returning,0,24.7,Medium
17470,17810,340,0,10.5,2,415,6,2,0.333,1330,3,2,21,4,Tier 1,Mobiles,Prepaid,Evening,iOS,Marketplace_3P,West,Returning,0,7.6,Low
980,1200,220,0,4.1,1,415,3,1,0.333,2520,2,1,19,2,Tier 1,Fashion,Prepaid,Evening,iOS,Marketplace_3P,East,Returning,0,2.6,Low
7630,9380,1750,0,18.2,3,1026,12,4,0.333,23140,5,4,14,4,Tier 3,Electronics,CoD,Afternoon,Android,Marketplace_3P,North,Returning,1,30.0,Medium
480,510,30,40,11.2,2,396,4,0,0.0,4770,2,0,11,5,Tier 1,Books,CoD,Morning,Android,Local_SmallSeller,Central,Returning,1,9.7,Low
390,410,20,60,1.4,1,281,6,1,0.167,12840,3,1,13,6,Tier 2,Grocery,CoD,Afternoon,iOS,Local_SmallSeller,West,Returning,0,8.7,Low
2400,2470,70,0,9.3,1,1030,16,6,0.375,20740,12,6,8,4,Tier 1,Footwear,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,3.0,Low
2060,2110,50,0,19.9,1,1109,17,1,0.059,26900,14,1,19,5,Tier 2,Home & Kitchen,CoD,Evening,Android,Local_SmallSeller,East,Returning,0,9.7,Low
850,920,70,0,2.5,1,339,4,0,0.0,13310,2,0,17,0,Tier 1,Beauty,Prepaid,Evening,Android,Local_SmallSeller,East,Returning,0,2.3,Low
7680,8370,690,0,4.1,1,1038,12,1,0.083,26100,11,1,23,1,Tier 2,Electronics,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,5.5,Low
980,1230,250,0,7.1,1,440,8,2,0.25,19920,7,2,1,4,Tier 1,Toys,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,3.7,Low
6320,7110,790,0,8.4,1,524,4,2,0.5,3910,2,1,20,0,Tier 1,Electronics,Prepaid,Evening,Android,Flagship_1P,North,Returning,0,5.4,Low
600,670,70,0,12.2,2,544,10,2,0.2,6360,4,2,0,4,Tier 2,Footwear,Prepaid,Late_Night,Android,Flagship_1P,East,Returning,0,5.2,Low
940,1230,290,0,7.8,1,397,3,0,0.0,7840,1,0,19,4,Tier 1,Footwear,CoD,Evening,iOS,Local_SmallSeller,South,Returning,0,8.7,Low
1440,1660,220,0,3.1,1,271,5,0,0.0,7970,3,0,18,1,Tier 1,Fashion,Prepaid,Evening,Android,Flagship_1P,West,Returning,0,2.3,Low
11110,12000,890,0,8.3,1,1274,11,0,0.0,30510,4,0,21,6,Tier 2,Electronics,CoD,Evening,Android,Flagship_1P,Central,Returning,0,11.6,Low
4840,5690,850,0,0.1,1,398,15,6,0.4,12340,11,6,15,3,Tier 1,Fashion,CoD,Afternoon,Android,Marketplace_3P,Central,Returning,0,7.6,Low
9230,9450,220,0,5.4,1,316,4,0,0.0,17420,3,0,20,0,Tier 1,Mobiles,Prepaid,Evening,Android,Marketplace_3P,Central,Returning,0,4.0,Low
950,1110,160,0,0.3,1,1112,19,1,0.053,45500,5,1,9,5,Tier 2,Fashion,CoD,Morning,Android,Marketplace_3P,North,Returning,0,4.4,Low
580,760,180,0,8.2,1,1214,16,2,0.125,8930,10,2,3,2,Tier 2,Fashion,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,0,8.7,Low
3680,4480,800,0,10.7,2,339,5,0,0.0,6640,2,0,7,0,Tier 1,Fashion,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,3.7,Low
700,810,110,0,11.5,1,597,9,2,0.222,24610,5,2,20,5,Tier 3,Fashion,CoD,Evening,Android,Marketplace_3P,East,Returning,0,11.0,Low
2540,3320,780,0,11.6,1,1411,17,4,0.235,82580,4,2,22,1,Tier 2,Footwear,CoD,Late_Night,Android,Marketplace_3P,North,Returning,0,11.0,Low
5970,7470,1500,0,51.2,2,1018,10,4,0.4,5460,4,3,0,4,Tier 3,Electronics,Prepaid,Late_Night,Android,Marketplace_3P,North,Returning,1,28.7,Medium
9620,12930,3310,0,4.0,1,191,1,0,0.0,1160,1,0,7,1,Tier 1,Electronics,Prepaid,Morning,Android,Local_SmallSeller,East,New,0,11.0,Low
7750,9470,1720,0,4.2,2,991,11,1,0.091,18280,7,1,22,5,Tier 1,Electronics,Prepaid,Late_Night,Android,Marketplace_3P,East,Returning,0,5.2,Low
2740,3640,900,0,10.3,1,468,4,1,0.25,8130,2,1,8,0,Tier 3,Footwear,CoD,Morning,Android,Marketplace_3P,South,Returning,0,14.8,Low
2810,2940,130,0,2.5,3,475,6,0,0.0,10630,5,0,8,2,Tier 1,Home & Kitchen,Prepaid,Morning,iOS,Marketplace_3P,East,Returning,0,3.0,Low
5100,6710,1610,0,39.7,1,310,6,0,0.0,5140,3,0,18,0,Tier 3,Electronics,CoD,Evening,Android,Flagship_1P,West,Returning,1,25.5,Medium
1210,1420,210,0,3.0,1,444,6,1,0.167,17170,3,1,6,1,Tier 2,Fashion,CoD,Morning,iOS,Local_SmallSeller,West,Returning,0,8.7,Low
1260,1380,120,0,4.2,1,767,7,1,0.143,10340,3,1,5,6,Tier 2,Fashion,CoD,Morning,Android,Marketplace_3P,North,Returning,0,7.3,Low
170,220,50,60,8.2,2,507,5,1,0.2,4930,1,1,5,5,Tier 2,Books,CoD,Morning,Android,Flagship_1P,North,Returning,0,9.7,Low
3750,4580,830,0,2.6,1,329,4,0,0.0,5640,3,0,14,0,Tier 1,Appliances,Prepaid,Afternoon,Android,Local_SmallSeller,Central,Returning,0,3.0,Low
6690,7690,1000,0,18.7,1,118,1,0,0.0,2040,1,0,21,6,Tier 1,Electronics,Prepaid,Evening,Android,Marketplace_3P,South,New,0,11.0,Low
27010,28130,1120,0,7.1,1,478,5,1,0.2,4500,1,1,13,6,Tier 1,Mobiles,CoD,Afternoon,Android,Local_SmallSeller,North,Returning,1,18.5,Low
5860,7720,1860,0,1.0,2,472,5,2,0.4,8710,3,2,11,6,Tier 2,Electronics,CoD,Morning,Android,Marketplace_3P,West,Returning,0,16.8,Low
2060,2530,470,0,22.5,1,1047,14,3,0.214,18150,11,3,2,6,Tier 2,Fashion,Prepaid,Late_Night,iOS,Marketplace_3P,West,Returning,0,6.2,Low
2920,2970,50,0,17.7,2,524,11,7,0.636,26290,7,7,1,3,Tier 3,Home & Kitchen,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,11.0,Low
540,660,120,0,6.6,1,289,3,1,0.333,1560,2,1,4,0,Tier 3,Grocery,CoD,Late_Night,iOS,Marketplace_3P,West,Returning,0,19.6,Low
4410,4560,150,0,9.6,1,116,2,2,1.0,2860,1,1,1,0,Tier 2,Footwear,Prepaid,Late_Night,Android,Flagship_1P,North,Returning,0,9.7,Low
2750,2910,160,0,14.1,1,1283,15,3,0.2,38900,8,3,2,4,Tier 3,Fashion,CoD,Late_Night,Android,Marketplace_3P,East,Returning,0,17.5,Low
350,430,80,40,48.0,1,131,1,1,1.0,450,0,0,17,3,Tier 3,Grocery,CoD,Evening,Android,Local_SmallSeller,North,New,0,39.1,Medium
1090,1370,280,0,30.3,1,1222,11,2,0.182,8700,4,2,22,6,Tier 1,Toys,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,4.0,Low
520,520,0,0,13.5,1,914,13,3,0.231,6130,10,3,3,0,Tier 1,Toys,CoD,Late_Night,Android,Marketplace_3P,South,Returning,0,8.7,Low
780,860,80,0,11.8,2,1157,14,4,0.286,16210,5,4,11,6,Tier 1,Footwear,Prepaid,Morning,iOS,Flagship_1P,North,Returning,0,2.6,Low
760,900,140,0,12.5,1,740,7,0,0.0,13580,6,0,10,6,Tier 2,Fashion,Prepaid,Morning,Android,Flagship_1P,South,Returning,0,3.9,Low
7490,9430,1940,0,12.0,1,347,4,2,0.5,4490,3,2,4,6,Tier 2,Electronics,CoD,Late_Night,Android,Flagship_1P,South,Returning,1,30.0,Medium
660,890,230,0,19.2,1,1119,17,3,0.176,45810,4,2,19,4,Tier 2,Beauty,CoD,Evening,Android,Marketplace_3P,West,Returning,0,8.7,Low
1270,1700,430,0,16.0,1,400,2,0,0.0,1760,1,0,18,2,Tier 2,Fashion,CoD,Evening,Android,Marketplace_3P,South,Returning,0,9.7,Low
1340,1620,280,0,1.9,1,1423,19,6,0.316,18710,10,6,23,4,Tier 1,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,3.0,Low
1960,2140,180,0,10.7,3,294,5,0,0.0,2550,2,0,23,0,Tier 2,Footwear,CoD,Late_Night,Android,Marketplace_3P,South,Returning,0,13.7,Low
1440,1610,170,0,15.4,1,1466,13,2,0.154,35050,6,2,3,1,Tier 2,Footwear,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,0,9.7,Low
660,780,120,0,1.3,3,488,9,1,0.111,8180,7,1,5,6,Tier 1,Fashion,Prepaid,Morning,iOS,Flagship_1P,Central,Returning,0,2.3,Low
2860,3110,250,0,7.2,1,1268,13,0,0.0,23690,7,0,23,5,Tier 3,Fashion,CoD,Late_Night,Android,Flagship_1P,Central,Returning,0,12.3,Low
3780,3800,20,0,8.3,1,979,11,5,0.455,3630,7,5,11,0,Tier 3,Appliances,CoD,Morning,iOS,Marketplace_3P,Central,Returning,0,13.7,Low
3070,3970,900,0,5.2,3,1343,23,0,0.0,29840,13,0,10,2,Tier 1,Fashion,CoD,Morning,Android,Local_SmallSeller,East,Returning,0,7.6,Low
350,420,70,0,0.9,1,941,11,3,0.273,14940,7,3,13,5,Tier 2,Fashion,CoD,Afternoon,iOS,Flagship_1P,North,Returning,0,7.3,Low
6030,7810,1780,0,3.5,1,1160,17,7,0.412,7920,6,4,13,5,Tier 2,Electronics,CoD,Afternoon,iOS,Local_SmallSeller,South,Returning,0,13.7,Low
5370,6520,1150,0,3.8,1,1488,17,2,0.118,47050,6,2,19,0,Tier 2,Home & Kitchen,CoD,Evening,Android,Local_SmallSeller,West,Returning,0,8.7,Low
8210,9960,1750,0,22.9,3,692,12,3,0.25,38910,7,3,19,5,Tier 1,Mobiles,Prepaid,Evening,Android,Marketplace_3P,South,Returning,0,8.7,Low
1200,1280,80,0,3.6,1,799,8,1,0.125,22420,2,1,18,1,Tier 1,Grocery,Prepaid,Evening,Android,Marketplace_3P,North,Returning,0,1.8,Low
6430,8260,1830,0,9.1,2,1270,13,4,0.308,9070,6,4,16,6,Tier 1,Mobiles,Prepaid,Afternoon,Android,Marketplace_3P,East,Returning,0,5.2,Low
4900,6580,1680,0,1.4,2,1396,14,0,0.0,12170,5,0,22,0,Tier 1,Electronics,CoD,Late_Night,Android,Marketplace_3P,West,Returning,0,11.0,Low
500,610,110,0,5.2,1,469,5,2,0.4,7720,4,2,22,1,Tier 2,Fashion,CoD,Late_Night,iOS,Marketplace_3P,Central,Returning,0,11.0,Low
970,1220,250,0,16.3,2,797,11,4,0.364,14630,10,4,0,4,Tier 2,Fashion,Prepaid,Late_Night,iOS,Marketplace_3P,West,Returning,0,7.3,Low
400,420,20,40,23.2,1,367,5,1,0.2,8340,4,1,2,6,Tier 2,Books,Prepaid,Late_Night,iOS,Flagship_1P,North,Returning,1,7.3,Low
