order_value_inr,cart_value,discount_amount,shipping_fee,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,order_hour,order_dow,city_tier,item_category,payment_method,time_of_day,device_os,seller_type,warehouse_zone,new_vs_returning_user,actual_rto,rto_risk_score,risk_band,rto_prob,segment,profit_no_intervention,in_top2_cohort,profit_static_fee50,dynamic_intervention,profit_dynamic
1920,2510,590,0,6.7,1,1347,10,1,0.1,23310,9,1,10,4,Tier 1,Footwear,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,2.6,Low,0.026000000000000002,Low RTO / High LTV,225.80319999999998,False,225.80319999999998,Prepaid_Incentive,228.33144
1390,1450,60,0,43.6,2,415,6,0,0.0,9980,4,0,19,3,Tier 3,Home & Kitchen,CoD,Evening,Android,Local_SmallSeller,West,Returning,0,19.6,Low,0.196,High RTO / Low LTV,136.3024,False,136.3024,Prepaid_Incentive,153.07608000000002
5480,5800,320,0,23.4,2,116,2,0,0.0,2790,1,0,20,6,Tier 1,Electronics,CoD,Evening,Android,Marketplace_3P,North,Returning,1,17.5,Low,0.175,High RTO / Low LTV,601.7399999999999,False,601.7399999999999,Prepaid_Incentive,632.463
4420,5360,940,0,7.8,1,388,5,4,0.8,3510,4,3,7,3,Tier 1,Electronics,Prepaid,Morning,Android,Marketplace_3P,Central,Returning,0,5.4,Low,0.054000000000000006,Returning / Core,515.4528000000001,False,515.4528000000001,Prepaid_Incentive,523.6737600000001
31230,32280,1050,0,3.8,1,552,8,1,0.125,41980,5,1,21,0,Tier 1,Appliances,Prepaid,Evening,Android,Local_SmallSeller,North,Returning,1,5.2,Low,0.052000000000000005,Low RTO / High LTV,3677.4415999999997,False,3677.4415999999997,Prepaid_Incentive,3716.0287199999993
2540,2940,400,0,54.1,1,1400,18,4,0.222,33540,12,4,14,6,Tier 3,Fashion,Prepaid,Afternoon,Android,Flagship_1P,Central,Returning,0,7.3,Low,0.073,Low RTO / High LTV,290.0832,False,290.0832,Prepaid_Incentive,298.17743999999993
4560,5360,800,0,1.4,2,497,10,0,0.0,20170,6,0,16,3,Tier 1,Electronics,CoD,Afternoon,Android,Marketplace_3P,South,Returning,0,7.3,Low,0.073,Returning / Core,526.5848000000001,False,526.5848000000001,Prepaid_Incentive,537.92316
850,860,10,0,18.2,1,766,13,2,0.154,63620,5,2,13,0,Tier 2,Fashion,CoD,Afternoon,Android,Flagship_1P,East,Returning,0,8.7,Low,0.087,Low RTO / High LTV,90.342,False,90.342,Fee_20_COD,97.88616499999999
710,880,170,0,9.5,1,1319,15,1,0.067,36540,3,1,3,1,Tier 2,Home & Kitchen,Prepaid,Late_Night,iOS,Marketplace_3P,North,Returning,0,3.7,Low,0.037000000000000005,Low RTO / High LTV,80.44919999999999,False,80.44919999999999,Fee_20_COD,88.76372899999998
2740,3320,580,0,21.2,1,586,6,1,0.167,10580,4,1,6,4,Tier 1,Appliances,CoD,Morning,Android,Marketplace_3P,West,Returning,0,9.7,Low,0.09699999999999999,Returning / Core,308.46879999999993,False,308.46879999999993,Prepaid_Incentive,319.65095999999994
16390,16480,90,0,6.1,1,171,4,0,0.0,3500,2,0,2,6,Tier 2,Mobiles,Prepaid,Late_Night,Android,Marketplace_3P,East,Returning,0,8.7,Low,0.087,Returning / Core,1901.0627999999997,False,1901.0627999999997,Prepaid_Incentive,1937.2182599999996
510,560,50,0,11.1,1,1281,17,5,0.294,19750,7,5,15,6,Tier 2,Beauty,Prepaid,Afternoon,Android,Flagship_1P,Central,Returning,0,3.7,Low,0.037000000000000005,Returning / Core,56.745200000000004,False,56.745200000000004,Fee_50_COD,83.59347600000001
1080,1420,340,0,7.2,3,837,10,0,0.0,36940,8,0,9,2,Tier 2,Beauty,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,3.7,Low,0.037000000000000005,Low RTO / High LTV,124.30160000000002,False,124.30160000000002,Prepaid_Incentive,127.21572000000002
500,600,100,0,12.8,1,651,9,1,0.111,5990,7,1,14,5,Tier 2,Grocery,Prepaid,Afternoon,Android,Marketplace_3P,North,Returning,0,3.7,Low,0.037000000000000005,Returning / Core,55.56,False,55.56,Fee_50_COD,82.7028
1510,1980,470,0,25.7,1,313,6,1,0.167,7300,4,1,20,0,Tier 3,Fashion,CoD,Evening,Android,Marketplace_3P,North,Returning,0,16.8,Low,0.168,High RTO / Low LTV,154.2528,False,154.2528,Prepaid_Incentive,169.07376000000002
850,1050,200,0,3.0,2,812,12,1,0.083,15520,5,1,9,6,Tier 1,Grocery,Prepaid,Morning,Android,Marketplace_3P,North,Returning,0,1.8,Low,0.018000000000000002,Returning / Core,99.588,False,99.588,Fee_50_COD,115.48044
400,480,80,40,3.5,1,317,2,0,0.0,5430,1,0,21,6,Tier 1,Fashion,Prepaid,Evening,iOS,Local_SmallSeller,West,Returning,0,3.0,Low,0.03,Returning / Core,44.52,False,44.52,Fee_50_COD,74.3076
310,330,20,60,17.8,2,1157,13,2,0.154,19670,8,2,3,4,Tier 2,Toys,CoD,Late_Night,Android,Local_SmallSeller,South,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,21.8012,False,21.8012,Fee_50_COD,58.698756
1700,1890,190,0,5.9,1,367,8,1,0.125,10580,7,1,23,6,Tier 2,Home & Kitchen,Prepaid,Late_Night,iOS,Marketplace_3P,South,Returning,1,3.9,Low,0.039,Returning / Core,197.448,False,197.448,Prepaid_Incentive,201.0516
2830,3740,910,0,10.7,1,58,1,0,0.0,880,0,0,9,1,Tier 1,Electronics,CoD,Morning,Android,Marketplace_3P,West,New,1,19.6,Low,0.196,High RTO / Low LTV,297.81280000000004,False,297.81280000000004,Prepaid_Incentive,320.79576000000003
1070,1250,180,0,13.3,1,1193,18,7,0.389,69800,10,6,11,5,Tier 1,Beauty,CoD,Morning,Android,Marketplace_3P,South,Returning,0,7.6,Low,0.076,Low RTO / High LTV,117.54719999999998,False,117.54719999999998,Prepaid_Incentive,123.51623999999998
2890,3390,500,0,6.5,1,509,5,0,0.0,5290,4,0,18,0,Tier 1,Footwear,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,2.6,Low,0.026000000000000002,Returning / Core,341.1944,False,341.1944,Prepaid_Incentive,344.27747999999997
1360,1670,310,0,7.1,2,505,8,0,0.0,10550,5,0,2,1,Tier 3,Fashion,CoD,Late_Night,Android,Flagship_1P,North,Returning,0,14.8,Low,0.14800000000000002,High RTO / Low LTV,140.34879999999998,False,140.34879999999998,Prepaid_Incentive,152.91696
320,390,70,40,9.3,1,391,3,0,0.0,7170,1,0,8,5,Tier 2,Beauty,CoD,Morning,iOS,Marketplace_3P,South,Returning,1,8.7,Low,0.087,Returning / Core,28.58639999999999,False,28.58639999999999,Fee_50_COD,63.117432
430,430,0,60,7.8,1,468,6,3,0.5,5270,2,2,1,5,Tier 2,Books,Prepaid,Late_Night,Android,Local_SmallSeller,South,Returning,0,7.3,Low,0.073,Returning / Core,43.044399999999996,False,43.044399999999996,Fee_50_COD,73.809972
1910,2360,450,0,1.0,1,399,4,2,0.5,4640,3,2,15,4,Tier 2,Fashion,CoD,Afternoon,Android,Local_SmallSeller,North,Returning,1,13.7,Low,0.13699999999999998,Returning / Core,205.03320000000002,False,205.03320000000002,Prepaid_Incentive,218.32494000000003
840,1120,280,0,18.7,2,1404,15,1,0.067,54270,11,1,22,0,Tier 2,Beauty,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,0,11.0,Low,0.11,Low RTO / High LTV,86.10399999999998,False,86.10399999999998,Fee_20_COD,94.38297999999998
640,820,180,0,4.3,1,1270,16,0,0.0,39720,3,0,8,1,Tier 2,Beauty,CoD,Morning,Android,Marketplace_3P,North,Returning,0,4.0,Low,0.04,Low RTO / High LTV,71.77599999999998,False,71.77599999999998,Fee_20_COD,81.19311999999998
830,960,130,0,7.8,1,974,13,2,0.154,18030,11,2,23,6,Tier 1,Beauty,CoD,Late_Night,Android,Local_SmallSeller,Central,Returning,0,8.7,Low,0.087,Returning / Core,88.01160000000002,False,88.01160000000002,Fee_50_COD,107.89930800000002
700,840,140,0,8.8,1,1465,14,6,0.429,37380,4,4,3,6,Tier 2,Beauty,Prepaid,Late_Night,Android,Flagship_1P,West,Returning,0,5.2,Low,0.052000000000000005,Low RTO / High LTV,77.344,False,77.344,Fee_20_COD,86.17527999999999
2180,2220,40,0,16.1,2,970,7,0,0.0,15780,6,0,19,1,Tier 2,Fashion,Prepaid,Evening,iOS,Marketplace_3P,West,Returning,0,5.2,Low,0.052000000000000005,Returning / Core,251.86560000000003,False,251.86560000000003,Prepaid_Incentive,257.21952000000005
940,990,50,0,10.2,1,246,7,0,0.0,19380,2,0,1,1,Tier 2,Footwear,CoD,Late_Night,Android,Local_SmallSeller,West,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,93.94879999999998,False,93.94879999999998,Fee_50_COD,113.22374400000001
1480,1880,400,0,36.3,1,172,1,0,0.0,210,0,0,15,2,Tier 3,Fashion,Prepaid,Afternoon,Android,Marketplace_3P,East,New,0,14.8,Low,0.14800000000000002,High RTO / Low LTV,154.03839999999997,False,154.03839999999997,Prepaid_Incentive,166.99727999999996
1530,1700,170,0,8.4,1,901,11,3,0.273,17070,4,3,22,2,Tier 1,Footwear,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,3.0,Low,0.03,Returning / Core,178.76399999999995,False,178.76399999999995,Prepaid_Incentive,181.42379999999997
1230,1390,160,0,11.7,1,1006,9,0,0.0,21750,6,0,17,4,Tier 1,Fashion,CoD,Evening,iOS,Flagship_1P,West,Returning,0,5.4,Low,0.054000000000000006,Low RTO / High LTV,139.5432,False,139.5432,Prepaid_Incentive,143.97444000000002
12850,14500,1650,0,10.0,1,944,8,3,0.375,10400,6,3,0,4,Tier 1,Electronics,Prepaid,Late_Night,Android,Flagship_1P,South,Returning,0,8.7,Low,0.087,Returning / Core,1488.582,False,1488.582,Prepaid_Incentive,1517.9619
21390,21550,160,0,10.7,1,602,12,1,0.083,22150,6,1,23,3,Tier 1,Electronics,CoD,Late_Night,Android,Marketplace_3P,East,Returning,0,19.6,Low,0.196,High RTO / High LTV,2379.5024000000003,False,2379.5024000000003,Prepaid_Incentive,2482.5160800000003
640,700,60,0,29.6,1,660,12,5,0.417,9000,10,5,19,6,Tier 3,Books,CoD,Evening,Android,Marketplace_3P,Central,Returning,0,18.5,Low,0.185,High RTO / Low LTV,53.563999999999986,False,53.563999999999986,Fee_50_COD,83.46132
1560,1570,10,0,9.1,1,128,3,0,0.0,410,3,0,23,4,Tier 2,Home & Kitchen,Prepaid,Late_Night,Android,Flagship_1P,East,Returning,0,5.2,Low,0.052000000000000005,Returning / Core,178.7552,False,178.7552,Prepaid_Incentive,183.39984
1850,2380,530,0,4.5,1,1463,24,14,0.583,25890,21,13,1,2,Tier 2,Footwear,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,7.6,Low,0.076,Low RTO / High LTV,208.776,False,208.776,Prepaid_Incentive,216.0492
940,1220,280,0,12.4,1,1445,18,1,0.056,52900,13,1,15,6,Tier 1,Fashion,Prepaid,Afternoon,Android,Local_SmallSeller,North,Returning,0,2.3,Low,0.023,Low RTO / High LTV,109.63519999999998,False,109.63519999999998,Fee_20_COD,114.19442399999997
690,770,80,0,1.5,1,74,1,0,0.0,1460,1,0,21,6,Tier 1,Fashion,Prepaid,Evening,Android,Marketplace_3P,East,New,0,3.9,Low,0.039,New Users,77.82359999999998,False,77.82359999999998,Fee_50_COD,99.46486799999998
640,660,20,0,27.3,1,418,5,0,0.0,9250,4,0,4,6,Tier 3,Beauty,Prepaid,Late_Night,iOS,Marketplace_3P,West,Returning,0,8.7,Low,0.087,Returning / Core,65.87279999999998,False,65.87279999999998,Fee_50_COD,91.215864
2900,3890,990,0,3.2,1,1469,19,3,0.158,16810,10,3,14,4,Tier 2,Electronics,Prepaid,Afternoon,Android,Local_SmallSeller,West,Returning,0,4.0,Low,0.04,Returning / Core,339.36,False,339.36,Prepaid_Incentive,344.112
1110,1500,390,0,23.7,1,478,5,5,1.0,1620,2,2,4,0,Tier 2,Fashion,CoD,Late_Night,Android,Marketplace_3P,West,Returning,1,25.5,Medium,0.255,High RTO / Low LTV,96.37799999999999,False,96.37799999999999,Fee_50_COD,117.20214000000001
960,980,20,0,7.2,1,578,9,7,0.778,10170,5,4,11,2,Tier 1,Beauty,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,4.0,Low,0.04,Returning / Core,109.66399999999999,False,109.66399999999999,Fee_50_COD,123.41232
1710,1950,240,0,3.0,1,43,2,0,0.0,1120,1,0,17,1,Tier 1,Beauty,CoD,Evening,Android,Marketplace_3P,North,Returning,1,7.3,Low,0.073,Returning / Core,192.90680000000003,False,192.90680000000003,Prepaid_Incentive,199.66806000000003
2930,3670,740,0,17.9,2,199,5,2,0.4,7550,4,2,23,0,Tier 3,Fashion,CoD,Late_Night,Android,Marketplace_3P,East,Returning,0,26.9,Medium,0.26899999999999996,High RTO / Low LTV,293.17320000000007,False,293.17320000000007,Prepaid_Incentive,325.30794000000003
25430,30460,5030,0,94.5,1,1463,12,3,0.25,10240,5,3,12,6,Tier 3,Mobiles,CoD,Afternoon,iOS,Local_SmallSeller,North,Returning,0,43.3,Medium,0.433,High RTO / Low LTV,2567.8523999999993,True,2024.4390119999998,Prepaid_Incentive,2833.9135799999995
850,1120,270,0,8.6,1,105,2,2,1.0,2990,1,1,7,1,Tier 3,Fashion,CoD,Morning,Android,Marketplace_3P,Central,Returning,1,19.6,Low,0.196,High RTO / Low LTV,75.736,False,75.736,Fee_50_COD,100.45368000000002
600,660,60,0,5.0,1,1204,16,4,0.25,22300,4,4,12,1,Tier 1,Books,Prepaid,Afternoon,Android,Marketplace_3P,South,Returning,0,1.8,Low,0.018000000000000002,Low RTO / High LTV,69.768,False,69.768,Fee_20_COD,79.24766
3000,3920,920,0,19.1,1,932,10,3,0.3,8480,7,3,8,4,Tier 2,Fashion,CoD,Morning,Android,Marketplace_3P,South,Returning,1,13.3,Low,0.133,Returning / Core,330.74,False,330.74,Prepaid_Incentive,346.833
8800,9650,850,0,10.7,2,341,5,4,0.8,260,4,3,16,4,Tier 3,Appliances,CoD,Afternoon,Android,Flagship_1P,North,Returning,1,30.0,Medium,0.3,High RTO / Low LTV,920.4,False,920.4,Prepaid_Incentive,994.98
610,620,10,0,3.4,1,177,2,0,0.0,10060,1,0,13,2,Tier 1,Beauty,CoD,Afternoon,Android,Flagship_1P,North,Returning,0,6.5,Low,0.065,Returning / Core,65.11399999999999,False,65.11399999999999,Fee_50_COD,90.30581999999998
7570,9020,1450,0,5.1,3,799,7,2,0.286,4770,2,2,22,2,Tier 2,Appliances,Prepaid,Late_Night,Android,Flagship_1P,East,Returning,0,8.7,Low,0.087,Returning / Core,873.3563999999999,False,873.3563999999999,Prepaid_Incentive,892.6303799999998
680,820,140,0,8.6,1,629,6,2,0.333,9620,5,2,20,1,Tier 2,Grocery,Prepaid,Evening,Android,Flagship_1P,Central,Returning,0,3.9,Low,0.039,Returning / Core,76.63919999999999,False,76.63919999999999,Fee_50_COD,98.574696
440,530,90,40,54.9,2,1372,15,1,0.067,15840,3,1,21,1,Tier 3,Grocery,CoD,Evening,Android,Marketplace_3P,West,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,36.68880000000001,False,36.68880000000001,Fee_50_COD,69.94994400000002
1450,1490,40,0,5.6,3,585,10,1,0.1,8890,4,1,7,1,Tier 2,Footwear,CoD,Morning,Android,Local_SmallSeller,East,Returning,0,9.7,Low,0.09699999999999999,Returning / Core,158.674,False,158.674,Prepaid_Incentive,167.1033
580,700,120,0,27.1,1,1402,10,3,0.3,45360,6,3,13,1,Tier 3,Fashion,CoD,Afternoon,iOS,Marketplace_3P,South,Returning,0,14.8,Low,0.14800000000000002,High RTO / High LTV,51.36639999999999,False,51.36639999999999,Fee_20_COD,64.226368
14730,16310,1580,0,7.9,1,423,7,3,0.429,3540,6,3,13,5,Tier 1,Mobiles,Prepaid,Afternoon,iOS,Marketplace_3P,North,Returning,0,7.3,Low,0.073,Returning / Core,1717.2884000000001,False,1717.2884000000001,Prepaid_Incentive,1744.9597800000001
770,780,10,0,3.0,1,400,7,5,0.714,10420,6,5,17,0,Tier 1,Beauty,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,3.7,Low,0.037000000000000005,Returning / Core,87.5604,False,87.5604,Fee_50_COD,106.751052
490,620,130,60,5.2,1,442,6,0,0.0,4610,4,0,0,3,Tier 1,Grocery,Prepaid,Late_Night,Android,Marketplace_3P,South,Returning,0,2.6,Low,0.026000000000000002,Returning / Core,55.690400000000004,False,55.690400000000004,Fee_50_COD,82.640952
3310,3400,90,0,19.7,1,226,2,0,0.0,3290,1,0,0,4,Tier 2,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,7.3,Low,0.073,Returning / Core,380.23479999999995,False,380.23479999999995,Prepaid_Incentive,389.5656599999999
6330,7120,790,0,11.3,1,1079,15,0,0.0,35030,10,0,16,2,Tier 2,Electronics,CoD,Afternoon,Android,Flagship_1P,South,Returning,0,11.0,Low,0.11,Low RTO / High LTV,720.7479999999999,False,720.7479999999999,Prepaid_Incentive,742.1166
2890,3860,970,0,4.6,1,700,11,0,0.0,6590,4,0,20,1,Tier 2,Electronics,CoD,Evening,Android,Marketplace_3P,North,Returning,0,7.3,Low,0.073,Returning / Core,331.06119999999993,False,331.06119999999993,Prepaid_Incentive,339.71753999999993
31460,36310,4850,0,19.6,3,335,5,1,0.2,3320,1,1,5,0,Tier 2,Appliances,CoD,Morning,Android,Flagship_1P,Central,Returning,0,25.5,Medium,0.255,High RTO / Low LTV,3428.808,False,3428.808,Prepaid_Incentive,3619.3236
9030,11920,2890,0,27.6,1,1260,12,2,0.167,37360,5,2,11,2,Tier 2,Mobiles,CoD,Morning,Android,Local_SmallSeller,South,Returning,0,24.7,Medium,0.247,High RTO / High LTV,969.6836,False,969.6836,Prepaid_Incentive,1032.33762
380,470,90,0,7.8,1,328,6,1,0.167,2160,5,1,21,2,Tier 2,Books,CoD,Evening,Android,Flagship_1P,Central,Returning,0,8.7,Low,0.087,Returning / Core,35.5776,False,35.5776,Fee_50_COD,68.385888
1980,2360,380,0,33.7,1,464,5,2,0.4,13500,4,2,21,6,Tier 3,Beauty,CoD,Evening,Android,Local_SmallSeller,West,Returning,0,24.7,Medium,0.247,High RTO / Low LTV,193.33759999999995,False,193.33759999999995,Prepaid_Incentive,217.68191999999996
17470,17810,340,0,10.5,2,415,6,2,0.333,1330,3,2,21,4,Tier 1,Mobiles,Prepaid,Evening,iOS,Marketplace_3P,West,Returning,0,7.6,Low,0.076,Returning / Core,2035.6911999999995,False,2035.6911999999995,Prepaid_Incentive,2069.0810399999996
980,1200,220,0,4.1,1,415,3,1,0.333,2520,2,1,19,2,Tier 1,Fashion,Prepaid,Evening,iOS,Marketplace_3P,East,Returning,0,2.6,Low,0.026000000000000002,Returning / Core,113.9808,False,113.9808,Fee_50_COD,126.41990400000002
7630,9380,1750,0,18.2,3,1026,12,4,0.333,23140,5,4,14,4,Tier 3,Electronics,CoD,Afternoon,Android,Marketplace_3P,North,Returning,1,30.0,Medium,0.3,High RTO / High LTV,794.04,True,650.6172,Prepaid_Incentive,860.8979999999999
480,510,30,40,11.2,2,396,4,0,0.0,4770,2,0,11,5,Tier 1,Books,CoD,Morning,Android,Local_SmallSeller,Central,Returning,1,9.7,Low,0.09699999999999999,Returning / Core,46.0376,False,46.0376,Fee_50_COD,76.41568799999999
390,410,20,60,1.4,1,281,6,1,0.167,12840,3,1,13,6,Tier 2,Grocery,CoD,Afternoon,iOS,Local_SmallSeller,West,Returning,0,8.7,Low,0.087,Returning / Core,36.7428,False,36.7428,Fee_50_COD,69.26396400000002
2400,2470,70,0,9.3,1,1030,16,6,0.375,20740,12,6,8,4,Tier 1,Footwear,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,3.0,Low,0.03,Returning / Core,282.12,False,282.12,Prepaid_Incentive,285.354
2060,2110,50,0,19.9,1,1109,17,1,0.059,26900,14,1,19,5,Tier 2,Home & Kitchen,CoD,Evening,Android,Local_SmallSeller,East,Returning,0,9.7,Low,0.09699999999999999,Low RTO / High LTV,229.5072,False,229.5072,Prepaid_Incentive,239.23824000000002
850,920,70,0,2.5,1,339,4,0,0.0,13310,2,0,17,0,Tier 1,Beauty,Prepaid,Evening,Android,Local_SmallSeller,East,Returning,0,2.3,Low,0.023,Returning / Core,98.918,False,98.918,Fee_50_COD,115.05834
